instrBehav,groupBehav,stimValence,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,RT,Response,Practice,Subject,Age,Gender,Handedness,
approachHappy,avoid,angry,0,0,0,0,0.9088253999943845,down,1,1,33,Male,Right,
approachHappy,approach,angry,0,1,1,1,1.1247255000052974,down,1,1,33,Male,Right,
approachHappy,avoid,happy,0,2,2,2,0.7598805999732576,up,1,1,33,Male,Right,
approachHappy,avoid,happy,0,3,3,3,0.9214739999733865,up,1,1,33,Male,Right,
approachHappy,approach,angry,0,4,4,4,1.2940813999739476,down,1,1,33,Male,Right,
approachHappy,approach,happy,0,5,5,5,1.3363977000117302,up,1,1,33,Male,Right,
approachHappy,avoid,happy,0,6,6,6,,,1,1,33,Male,Right,
approachHappy,approach,angry,0,7,7,7,0.9200696999905631,down,1,1,33,Male,Right,
approachHappy,avoid,happy,0,8,8,8,0.5984341999865137,up,0,1,33,Male,Right,
approachHappy,approach,angry,0,9,9,9,0.418299000011757,down,0,1,33,Male,Right,
approachHappy,approach,happy,0,10,10,10,0.5435529000242241,up,0,1,33,Male,Right,
approachHappy,avoid,angry,0,11,11,11,0.42740330001106486,down,0,1,33,Male,Right,
approachHappy,avoid,happy,0,12,12,12,0.41242419998161495,up,0,1,33,Male,Right,
approachHappy,avoid,happy,0,13,13,13,0.44354339997516945,up,0,1,33,Male,Right,
approachHappy,approach,happy,0,14,14,14,0.4273272000136785,up,0,1,33,Male,Right,
approachHappy,avoid,happy,0,15,15,15,0.5187510999967344,up,0,1,33,Male,Right,
approachHappy,avoid,angry,0,16,16,16,0.643445800000336,down,0,1,33,Male,Right,
approachHappy,approach,angry,0,17,17,17,0.8754560999805108,up,0,1,33,Male,Right,
approachHappy,approach,happy,0,18,18,18,1.3673482000012882,up,0,1,33,Male,Right,
approachHappy,approach,happy,0,19,19,19,1.0109006999991834,up,0,1,33,Male,Right,
approachHappy,avoid,angry,0,20,20,20,0.749662599992007,down,0,1,33,Male,Right,
approachHappy,approach,angry,0,21,21,21,0.9007708000135608,down,0,1,33,Male,Right,
approachHappy,approach,angry,0,22,22,22,0.5132227999856696,down,0,1,33,Male,Right,
approachHappy,approach,happy,0,23,23,23,0.6404745999607258,up,0,1,33,Male,Right,
approachHappy,avoid,happy,0,24,24,24,1.2220660999882966,up,0,1,33,Male,Right,
approachHappy,approach,happy,0,25,25,25,0.44189230003394186,up,0,1,33,Male,Right,
approachHappy,approach,happy,0,26,26,26,0.4029452999820933,up,0,1,33,Male,Right,
approachHappy,avoid,angry,0,27,27,27,0.432742600038182,down,0,1,33,Male,Right,
approachHappy,avoid,angry,0,28,28,28,0.4483137999777682,down,0,1,33,Male,Right,
approachHappy,approach,happy,0,29,29,29,0.6003109000157565,up,0,1,33,Male,Right,
approachHappy,approach,angry,0,30,30,30,0.5601503000361845,down,0,1,33,Male,Right,
approachHappy,avoid,angry,0,31,31,31,0.4804821999859996,down,0,1,33,Male,Right,
approachHappy,approach,happy,0,32,32,32,0.39217659999849275,up,0,1,33,Male,Right,
approachHappy,avoid,angry,0,33,33,33,0.4382179999956861,up,0,1,33,Male,Right,
approachHappy,approach,happy,0,34,34,34,0.5477592999814078,up,0,1,33,Male,Right,
approachHappy,avoid,angry,0,35,35,35,0.503435000020545,down,0,1,33,Male,Right,
approachHappy,avoid,happy,0,36,36,36,0.708887999993749,up,0,1,33,Male,Right,
approachHappy,approach,angry,0,37,37,37,0.8935619999538176,down,0,1,33,Male,Right,
approachHappy,avoid,happy,0,38,38,38,0.8633618000312708,up,0,1,33,Male,Right,
approachHappy,approach,angry,0,39,39,39,0.6573371000122279,down,0,1,33,Male,Right,
approachHappy,avoid,happy,0,40,40,40,0.800329799996689,up,0,1,33,Male,Right,
approachHappy,avoid,happy,0,41,41,41,0.48908939998364076,up,0,1,33,Male,Right,
approachHappy,approach,angry,0,42,42,42,0.537727500020992,down,0,1,33,Male,Right,
approachHappy,approach,happy,0,43,43,43,0.5632208999595605,up,0,1,33,Male,Right,
approachHappy,avoid,angry,0,44,44,44,0.4633186000282876,down,0,1,33,Male,Right,
approachHappy,approach,happy,0,45,45,45,0.9640703999903053,up,0,1,33,Male,Right,
approachHappy,avoid,happy,0,46,46,46,0.610186200006865,up,0,1,33,Male,Right,
approachHappy,avoid,happy,0,47,47,47,0.49118180002551526,up,0,1,33,Male,Right,
approachHappy,approach,happy,0,48,48,48,0.33239190001040697,up,0,1,33,Male,Right,
approachHappy,avoid,angry,0,49,49,49,0.475225500005763,down,0,1,33,Male,Right,
approachHappy,avoid,happy,0,50,50,50,0.4307247000397183,up,0,1,33,Male,Right,
approachHappy,avoid,angry,0,51,51,51,0.5238179000443779,down,0,1,33,Male,Right,
approachHappy,avoid,angry,0,52,52,52,0.5359612999600358,down,0,1,33,Male,Right,
approachHappy,approach,happy,0,53,53,53,0.3048825999721885,up,0,1,33,Male,Right,
approachHappy,approach,angry,0,54,54,54,0.36719379998976365,up,0,1,33,Male,Right,
approachHappy,avoid,happy,0,55,55,55,0.4021845000097528,down,0,1,33,Male,Right,
approachHappy,approach,happy,0,56,56,56,0.689173299993854,up,0,1,33,Male,Right,
approachHappy,approach,angry,0,57,57,57,0.75625089998357,down,0,1,33,Male,Right,
approachHappy,approach,angry,0,58,58,58,0.9804774000076577,down,0,1,33,Male,Right,
approachHappy,avoid,happy,0,59,59,59,0.51846300001489,up,0,1,33,Male,Right,
approachHappy,avoid,angry,0,60,60,60,0.8249125000438653,down,0,1,33,Male,Right,
approachHappy,approach,angry,0,61,61,61,0.7494117000023834,up,0,1,33,Male,Right,
approachHappy,avoid,angry,0,62,62,62,0.6158025999902748,down,0,1,33,Male,Right,
approachHappy,approach,angry,0,63,63,63,0.9803232999984175,down,0,1,33,Male,Right,
approachHappy,avoid,angry,0,64,64,64,1.362777800008189,down,0,1,33,Male,Right,
approachHappy,avoid,angry,0,65,65,65,1.2909986000158824,down,0,1,33,Male,Right,
approachHappy,avoid,angry,0,66,66,66,,,0,1,33,Male,Right,
approachHappy,approach,happy,0,67,67,67,0.6299494000268169,up,0,1,33,Male,Right,
approachHappy,avoid,happy,0,68,68,68,0.6246120000141673,up,0,1,33,Male,Right,
approachHappy,approach,angry,0,69,69,69,0.37613009999040514,down,0,1,33,Male,Right,
approachHappy,avoid,angry,0,70,70,70,0.4944125000038184,down,0,1,33,Male,Right,
approachHappy,approach,angry,0,71,71,71,0.8341355999582447,down,0,1,33,Male,Right,
approachHappy,avoid,angry,0,72,72,72,0.4125917999772355,down,0,1,33,Male,Right,
approachHappy,avoid,angry,0,73,73,73,0.37301829998614267,down,0,1,33,Male,Right,
approachHappy,avoid,happy,0,74,74,74,0.5032180999987759,up,0,1,33,Male,Right,
approachHappy,avoid,happy,0,75,75,75,0.43697410001186654,up,0,1,33,Male,Right,
approachHappy,avoid,angry,0,76,76,76,0.5996676000067964,down,0,1,33,Male,Right,
approachHappy,avoid,happy,0,77,77,77,0.6725095000001602,up,0,1,33,Male,Right,
approachHappy,avoid,happy,0,78,78,78,1.19155619997764,up,0,1,33,Male,Right,
approachHappy,approach,angry,0,79,79,79,,,0,1,33,Male,Right,
approachHappy,approach,happy,0,80,80,80,0.5776058999472298,up,0,1,33,Male,Right,
approachHappy,avoid,happy,0,81,81,81,0.6571106999763288,up,0,1,33,Male,Right,
approachHappy,avoid,angry,0,82,82,82,0.5841139000258408,down,0,1,33,Male,Right,
approachHappy,avoid,happy,0,83,83,83,0.5583325000479817,up,0,1,33,Male,Right,
approachHappy,approach,angry,0,84,84,84,0.46006880002096295,down,0,1,33,Male,Right,
approachHappy,avoid,angry,0,85,85,85,0.6790376999997534,down,0,1,33,Male,Right,
approachHappy,avoid,happy,0,86,86,86,0.5926133000175469,up,0,1,33,Male,Right,
approachHappy,approach,angry,0,87,87,87,1.1570581999840215,down,0,1,33,Male,Right,
approachHappy,approach,happy,0,88,88,88,0.6494335000170395,up,0,1,33,Male,Right,
approachHappy,approach,angry,0,89,89,89,1.0611301000462845,down,0,1,33,Male,Right,
approachHappy,approach,angry,0,90,90,90,0.6168354999972507,down,0,1,33,Male,Right,
approachHappy,approach,happy,0,91,91,91,0.6793794999830425,up,0,1,33,Male,Right,
approachHappy,approach,happy,0,92,92,92,0.9911595999728888,up,0,1,33,Male,Right,
approachHappy,approach,happy,0,93,93,93,0.5930137999821454,up,0,1,33,Male,Right,
approachHappy,avoid,angry,0,94,94,94,0.5093689999775961,down,0,1,33,Male,Right,
approachHappy,approach,happy,0,95,95,95,0.49369859998114407,up,0,1,33,Male,Right,
approachHappy,approach,angry,0,96,96,96,1.4724072000244632,down,0,1,33,Male,Right,
approachHappy,avoid,angry,0,97,97,97,0.6435643999720924,down,0,1,33,Male,Right,
approachHappy,approach,happy,0,98,98,98,0.7640012999763712,up,0,1,33,Male,Right,
approachHappy,avoid,angry,0,99,99,99,0.6430116000119597,down,0,1,33,Male,Right,
approachHappy,approach,angry,0,100,100,100,1.442581399984192,down,0,1,33,Male,Right,
approachHappy,approach,happy,0,101,101,101,0.7899608000298031,up,0,1,33,Male,Right,
approachHappy,avoid,happy,0,102,102,102,0.709134400007315,up,0,1,33,Male,Right,
approachHappy,avoid,angry,0,103,103,103,0.47795650002080947,down,0,1,33,Male,Right,
approachHappy,approach,happy,0,104,104,104,1.0452757999883033,up,0,1,33,Male,Right,
approachHappy,approach,angry,0,105,105,105,0.6701283000293188,down,0,1,33,Male,Right,
approachHappy,avoid,happy,0,106,106,106,2.029586599965114,up,0,1,33,Male,Right,
approachHappy,approach,angry,0,107,107,107,1.5367904999875464,down,0,1,33,Male,Right,
approachHappy,approach,happy,0,108,108,108,0.5345193999819458,up,0,1,33,Male,Right,
approachHappy,avoid,angry,0,109,109,109,0.38778749998891726,down,0,1,33,Male,Right,
approachHappy,approach,happy,0,110,110,110,0.45893940003588796,up,0,1,33,Male,Right,
approachHappy,avoid,happy,0,111,111,111,0.47396220004884526,up,0,1,33,Male,Right,
approachHappy,approach,angry,0,112,112,112,0.5134634000132792,down,0,1,33,Male,Right,
approachHappy,approach,angry,0,113,113,113,0.5327685000374913,up,0,1,33,Male,Right,
approachHappy,approach,happy,0,114,114,114,0.7844394999556243,up,0,1,33,Male,Right,
approachHappy,avoid,happy,0,115,115,115,0.695851499971468,up,0,1,33,Male,Right,
approachHappy,approach,happy,0,116,116,116,0.5339985000318848,up,0,1,33,Male,Right,
approachHappy,approach,happy,0,117,117,117,0.5640182999777608,up,0,1,33,Male,Right,
approachHappy,avoid,happy,0,118,118,118,0.4634614000096917,up,0,1,33,Male,Right,
approachHappy,avoid,angry,0,119,119,119,0.4848698999849148,down,0,1,33,Male,Right,
approachHappy,avoid,angry,0,120,120,120,1.1960020000115037,down,0,1,33,Male,Right,
approachHappy,avoid,happy,0,121,121,121,0.4829387000063434,up,0,1,33,Male,Right,
approachHappy,avoid,happy,0,122,122,122,0.6343041000072844,up,0,1,33,Male,Right,
approachHappy,approach,happy,0,123,123,123,0.6952487000380643,up,0,1,33,Male,Right,
approachHappy,avoid,angry,0,124,124,124,1.341619200014975,down,0,1,33,Male,Right,
approachHappy,approach,angry,0,125,125,125,0.4478149000206031,down,0,1,33,Male,Right,
approachHappy,approach,angry,0,126,126,126,0.5737498000380583,down,0,1,33,Male,Right,
approachHappy,approach,angry,0,127,127,127,0.5237725999904796,down,0,1,33,Male,Right,
approachAngry,approach,happy,0,128,128,128,1.502588499977719,down,1,1,33,Male,Right,
approachAngry,approach,happy,0,129,129,129,1.6973785000154749,down,1,1,33,Male,Right,
approachAngry,approach,angry,0,130,130,130,0.8512161999824457,up,1,1,33,Male,Right,
approachAngry,approach,angry,0,131,131,131,0.5300195000017993,up,1,1,33,Male,Right,
approachAngry,approach,happy,0,132,132,132,0.7252205000258982,down,1,1,33,Male,Right,
approachAngry,avoid,happy,0,133,133,133,1.0420969999977387,down,1,1,33,Male,Right,
approachAngry,approach,happy,0,134,134,134,0.9714211000245996,down,1,1,33,Male,Right,
approachAngry,avoid,angry,0,135,135,135,0.6512294000131078,up,1,1,33,Male,Right,
approachAngry,avoid,happy,0,136,136,136,1.0487090999959037,down,0,1,33,Male,Right,
approachAngry,avoid,angry,0,137,137,137,0.3531642000307329,up,0,1,33,Male,Right,
approachAngry,avoid,angry,0,138,138,138,0.5637239000061527,up,0,1,33,Male,Right,
approachAngry,approach,happy,0,139,139,139,0.5138229000149295,down,0,1,33,Male,Right,
approachAngry,avoid,happy,0,140,140,140,0.4321781999897212,down,0,1,33,Male,Right,
approachAngry,avoid,angry,0,141,141,141,0.47846020001452416,down,0,1,33,Male,Right,
approachAngry,avoid,angry,0,142,142,142,0.5733857000013813,up,0,1,33,Male,Right,
approachAngry,avoid,happy,0,143,143,143,0.5860889999894425,down,0,1,33,Male,Right,
approachAngry,approach,happy,0,144,144,144,0.5764563000411727,up,0,1,33,Male,Right,
approachAngry,avoid,happy,0,145,145,145,1.1862213999847881,down,0,1,33,Male,Right,
approachAngry,avoid,angry,0,146,146,146,0.34199200000148267,up,0,1,33,Male,Right,
approachAngry,approach,happy,0,147,147,147,0.9542636999976821,down,0,1,33,Male,Right,
approachAngry,avoid,angry,0,148,148,148,0.9950764999957755,up,0,1,33,Male,Right,
approachAngry,avoid,angry,0,149,149,149,0.8295355000300333,down,0,1,33,Male,Right,
approachAngry,approach,angry,0,150,150,150,0.6336823000456207,up,0,1,33,Male,Right,
approachAngry,approach,angry,0,151,151,151,0.4074206000077538,up,0,1,33,Male,Right,
approachAngry,avoid,angry,0,152,152,152,0.6934183000121266,up,0,1,33,Male,Right,
approachAngry,approach,happy,0,153,153,153,0.4421454999828711,down,0,1,33,Male,Right,
approachAngry,avoid,angry,0,154,154,154,0.7803638000041246,up,0,1,33,Male,Right,
approachAngry,avoid,happy,0,155,155,155,0.8890147000201978,down,0,1,33,Male,Right,
approachAngry,approach,happy,0,156,156,156,0.9353923000162467,down,0,1,33,Male,Right,
approachAngry,approach,happy,0,157,157,157,,,0,1,33,Male,Right,
approachAngry,avoid,angry,0,158,158,158,0.5898419999866746,up,0,1,33,Male,Right,
approachAngry,avoid,angry,0,159,159,159,1.9960589000256732,up,0,1,33,Male,Right,
approachAngry,approach,angry,0,160,160,160,1.668004400038626,up,0,1,33,Male,Right,
approachAngry,avoid,angry,0,161,161,161,0.5390516000334173,up,0,1,33,Male,Right,
approachAngry,approach,happy,0,162,162,162,1.0101624999660999,down,0,1,33,Male,Right,
approachAngry,avoid,angry,0,163,163,163,,,0,1,33,Male,Right,
approachAngry,avoid,happy,0,164,164,164,1.640361900033895,down,0,1,33,Male,Right,
approachAngry,approach,angry,0,165,165,165,0.40802590001840144,up,0,1,33,Male,Right,
approachAngry,avoid,happy,0,166,166,166,1.5921007000142708,down,0,1,33,Male,Right,
approachAngry,approach,angry,0,167,167,167,1.9739638000028208,down,0,1,33,Male,Right,
approachAngry,approach,angry,0,168,168,168,0.8490291999769397,up,0,1,33,Male,Right,
approachAngry,avoid,angry,0,169,169,169,0.6945996999857016,up,0,1,33,Male,Right,
approachAngry,approach,happy,0,170,170,170,0.6948272000299767,down,0,1,33,Male,Right,
approachAngry,avoid,happy,0,171,171,171,1.0403034999617375,down,0,1,33,Male,Right,
approachAngry,avoid,happy,0,172,172,172,1.0068083999794908,down,0,1,33,Male,Right,
approachAngry,approach,angry,0,173,173,173,0.6430338000063784,up,0,1,33,Male,Right,
approachAngry,approach,happy,0,174,174,174,1.9198302999720909,down,0,1,33,Male,Right,
approachAngry,avoid,angry,0,175,175,175,2.0892582000233233,up,0,1,33,Male,Right,
approachAngry,avoid,angry,0,176,176,176,1.4618902999791317,up,0,1,33,Male,Right,
approachAngry,avoid,happy,0,177,177,177,0.6443211000296287,down,0,1,33,Male,Right,
approachAngry,avoid,happy,0,178,178,178,,,0,1,33,Male,Right,
approachAngry,avoid,happy,0,179,179,179,1.2775749000138603,down,0,1,33,Male,Right,
approachAngry,approach,angry,0,180,180,180,1.180550499993842,up,0,1,33,Male,Right,
approachAngry,approach,happy,0,181,181,181,1.1540727999527007,down,0,1,33,Male,Right,
approachAngry,avoid,angry,0,182,182,182,1.3001542999991216,up,0,1,33,Male,Right,
approachAngry,avoid,angry,0,183,183,183,1.1654526999918744,down,0,1,33,Male,Right,
approachAngry,approach,angry,0,184,184,184,0.9455794999958016,up,0,1,33,Male,Right,
approachAngry,avoid,happy,0,185,185,185,0.502906100009568,down,0,1,33,Male,Right,
approachAngry,approach,happy,0,186,186,186,0.5530161000206135,down,0,1,33,Male,Right,
approachAngry,approach,happy,0,187,187,187,0.5041478999773972,down,0,1,33,Male,Right,
approachAngry,approach,happy,0,188,188,188,0.8355532999848947,down,0,1,33,Male,Right,
approachAngry,avoid,angry,0,189,189,189,0.4984566999482922,up,0,1,33,Male,Right,
approachAngry,approach,happy,0,190,190,190,0.5740382000221871,down,0,1,33,Male,Right,
approachAngry,approach,happy,0,191,191,191,0.5153240999788977,down,0,1,33,Male,Right,
approachAngry,approach,happy,0,192,192,192,0.43824069999391213,down,0,1,33,Male,Right,
approachAngry,approach,happy,0,193,193,193,0.5289251999929547,down,0,1,33,Male,Right,
approachAngry,approach,angry,0,194,194,194,0.37804620002862066,up,0,1,33,Male,Right,
approachAngry,approach,angry,0,195,195,195,0.29394160001538694,up,0,1,33,Male,Right,
approachAngry,avoid,happy,0,196,196,196,0.5468362999963574,down,0,1,33,Male,Right,
approachAngry,avoid,happy,0,197,197,197,0.4154992999974638,down,0,1,33,Male,Right,
approachAngry,avoid,happy,0,198,198,198,0.5345114999799989,down,0,1,33,Male,Right,
approachAngry,avoid,angry,0,199,199,199,0.7341218999936245,up,0,1,33,Male,Right,
approachAngry,avoid,angry,0,200,200,200,0.3424984000157565,up,0,1,33,Male,Right,
approachAngry,avoid,angry,0,201,201,201,0.435546999971848,up,0,1,33,Male,Right,
approachAngry,approach,happy,0,202,202,202,0.5233411000226624,down,0,1,33,Male,Right,
approachAngry,avoid,angry,0,203,203,203,0.4740147999837063,up,0,1,33,Male,Right,
approachAngry,approach,happy,0,204,204,204,0.95063040003879,down,0,1,33,Male,Right,
approachAngry,avoid,happy,0,205,205,205,0.7196238999604248,down,0,1,33,Male,Right,
approachAngry,approach,happy,0,206,206,206,0.5395556999719702,down,0,1,33,Male,Right,
approachAngry,approach,angry,0,207,207,207,0.6042981999926269,up,0,1,33,Male,Right,
approachAngry,avoid,angry,0,208,208,208,0.44864040001994,up,0,1,33,Male,Right,
approachAngry,approach,angry,0,209,209,209,0.5148714000242762,up,0,1,33,Male,Right,
approachAngry,approach,angry,0,210,210,210,0.39839399995980784,up,0,1,33,Male,Right,
approachAngry,avoid,angry,0,211,211,211,1.1620029999758117,up,0,1,33,Male,Right,
approachAngry,approach,happy,0,212,212,212,0.7094883000245318,down,0,1,33,Male,Right,
approachAngry,approach,angry,0,213,213,213,1.3331903999787755,up,0,1,33,Male,Right,
approachAngry,avoid,happy,0,214,214,214,0.5554906000033952,down,0,1,33,Male,Right,
approachAngry,approach,angry,0,215,215,215,,,0,1,33,Male,Right,
approachAngry,avoid,happy,0,216,216,216,0.7480004000244662,down,0,1,33,Male,Right,
approachAngry,approach,angry,0,217,217,217,0.8012488000094891,down,0,1,33,Male,Right,
approachAngry,approach,angry,0,218,218,218,0.43972279998706654,up,0,1,33,Male,Right,
approachAngry,approach,angry,0,219,219,219,0.3940145000233315,up,0,1,33,Male,Right,
approachAngry,approach,angry,0,220,220,220,0.38862510002218187,up,0,1,33,Male,Right,
approachAngry,avoid,angry,0,221,221,221,0.32775719999335706,up,0,1,33,Male,Right,
approachAngry,avoid,happy,0,222,222,222,0.650473499961663,down,0,1,33,Male,Right,
approachAngry,avoid,happy,0,223,223,223,0.6710185999982059,down,0,1,33,Male,Right,
approachAngry,approach,angry,0,224,224,224,0.830254899978172,up,0,1,33,Male,Right,
approachAngry,avoid,happy,0,225,225,225,1.447116499999538,down,0,1,33,Male,Right,
approachAngry,avoid,angry,0,226,226,226,0.443335100018885,up,0,1,33,Male,Right,
approachAngry,avoid,happy,0,227,227,227,1.0092493999982253,down,0,1,33,Male,Right,
approachAngry,avoid,angry,0,228,228,228,0.5683286000275984,down,0,1,33,Male,Right,
approachAngry,approach,angry,0,229,229,229,2.03188190003857,up,0,1,33,Male,Right,
approachAngry,approach,angry,0,230,230,230,1.0055783000425436,down,0,1,33,Male,Right,
approachAngry,avoid,happy,0,231,231,231,0.6034960999968462,down,0,1,33,Male,Right,
approachAngry,approach,happy,0,232,232,232,2.097206800011918,down,0,1,33,Male,Right,
approachAngry,approach,happy,0,233,233,233,1.1449719000374898,down,0,1,33,Male,Right,
approachAngry,avoid,happy,0,234,234,234,0.5522889000130817,down,0,1,33,Male,Right,
approachAngry,avoid,angry,0,235,235,235,0.4509268999681808,up,0,1,33,Male,Right,
approachAngry,approach,happy,0,236,236,236,0.4712928999797441,down,0,1,33,Male,Right,
approachAngry,avoid,angry,0,237,237,237,0.6848103000083938,up,0,1,33,Male,Right,
approachAngry,approach,angry,0,238,238,238,1.9490568000474013,up,0,1,33,Male,Right,
approachAngry,approach,angry,0,239,239,239,0.6140222999965772,up,0,1,33,Male,Right,
approachAngry,approach,happy,0,240,240,240,0.6803391000139527,down,0,1,33,Male,Right,
approachAngry,avoid,happy,0,241,241,241,1.4416533000185154,down,0,1,33,Male,Right,
approachAngry,approach,happy,0,242,242,242,0.5191247999900952,up,0,1,33,Male,Right,
approachAngry,approach,angry,0,243,243,243,0.7452104999683797,up,0,1,33,Male,Right,
approachAngry,approach,happy,0,244,244,244,0.7660475000157021,down,0,1,33,Male,Right,
approachAngry,approach,angry,0,245,245,245,2.0243627000018023,up,0,1,33,Male,Right,
approachAngry,avoid,angry,0,246,246,246,1.195526499999687,up,0,1,33,Male,Right,
approachAngry,approach,angry,0,247,247,247,1.3466657999670133,up,0,1,33,Male,Right,
approachAngry,approach,angry,0,248,248,248,0.5779046000097878,up,0,1,33,Male,Right,
approachAngry,approach,happy,0,249,249,249,0.5797829999937676,down,0,1,33,Male,Right,
approachAngry,avoid,happy,0,250,250,250,1.8854157999739982,down,0,1,33,Male,Right,
approachAngry,avoid,happy,0,251,251,251,,,0,1,33,Male,Right,
approachAngry,avoid,happy,0,252,252,252,0.687592800008133,down,0,1,33,Male,Right,
approachAngry,avoid,happy,0,253,253,253,0.5498231999808922,down,0,1,33,Male,Right,
approachAngry,approach,angry,0,254,254,254,0.7206438999855891,up,0,1,33,Male,Right,
approachAngry,avoid,happy,0,255,255,255,0.6451241999748163,down,0,1,33,Male,Right,
